21:28:45.550790 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:45.551013 [queue=1] packet #3, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is dropped
21:28:45.599862 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:45.600099 [queue=1] packet #1, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 940ms
21:28:46.541249 [queue=0] packet #1, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:46.547777 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=34 is dropped
21:28:49.555638 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 470ms
21:28:49.555745 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=34 is dropped
21:28:50.026966 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:50.027382 [queue=0] packet #3, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is dropped
21:28:52.562874 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delayed for 530ms
21:28:52.562904 [queue=2] packet #4, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=34 is delayed for 210ms
21:28:52.774047 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=34 is delivered
21:28:52.774339 [queue=2] packet #4, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 990ms
21:28:53.093976 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=40 is delivered
21:28:53.094169 [queue=2] packet #3, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 50ms
21:28:53.145282 [queue=1] packet #3, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:53.765630 [queue=0] packet #4, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:53.778690 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is dropped
21:28:58.782797 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delayed for 30ms
21:28:58.813206 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delivered
21:28:58.813556 [queue=1] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delayed for 510ms
21:28:59.325237 [queue=0] packet #0, 127.0.0.1:60967 -> 127.0.0.1:8007, sz=0 is delivered
21:28:59.326488 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delayed for 50ms
21:28:59.379272 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:60967, sz=0 is delivered
21:29:02.389962 [queue=1] packet #0, 127.0.0.1:52549 -> 127.0.0.1:8007, sz=0 is delayed for 660ms
21:29:03.051722 [queue=0] packet #0, 127.0.0.1:52549 -> 127.0.0.1:8007, sz=0 is delivered
21:29:03.053008 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52549, sz=0 is delayed for 610ms
21:29:03.664364 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52549, sz=0 is delivered
21:29:03.665494 [queue=1] packet #0, 127.0.0.1:52549 -> 127.0.0.1:8007, sz=0 is delayed for 830ms
